iter	Passed	Remaining
0	207	415168
1	246	246159
2	404	269463
3	526	262767
4	647	258207
5	781	259689
6	906	257952
7	992	247231
8	1120	247806
9	1241	247145
10	1391	251674
11	1520	251857
12	1657	253332
13	1781	252716
14	1901	251648
15	2028	251507
16	2184	254798
17	2414	265858
18	2648	276188
19	2878	284970
20	3139	295861
21	3358	301961
22	3518	302425
23	3748	308657
24	3974	313970
25	4240	321937
26	4510	329610
27	4700	331038
28	4883	331922
29	5075	333269
30	5361	340519
31	5618	345534
32	5799	345691
33	6031	348758
34	6296	353500
35	6574	358662
36	6813	361482
37	7015	362234
38	7191	361604
39	7378	361569
40	7605	363398
41	7857	366318
42	8071	367339
43	8272	367740
44	8462	367627
45	8644	367212
46	8873	368729
47	9058	368371
48	9254	368480
49	9426	367628
50	9609	367217
51	9815	367686
52	9985	366823
53	10177	366776
54	10410	368153
55	10619	368633
56	10833	369292
57	10998	368245
58	11187	368058
59	11309	365688
60	11430	363346
61	11553	361140
62	11683	359216
63	11810	357261
64	11961	356078
65	12079	353961
66	12200	351980
67	12317	349956
68	12434	347994
69	12557	346239
70	12680	344521
71	12804	342876
72	12942	341642
73	13057	339834
74	13177	338214
75	13308	336927
76	13437	335576
77	13567	334327
78	13688	332855
79	13810	331457
80	13939	330251
81	14056	328794
82	14176	327421
83	14294	326056
84	14411	324679
85	14528	323342
86	14645	322028
87	14767	320846
88	14887	319654
89	15057	319554
90	15173	318313
91	15289	317084
92	15404	315870
93	15524	314785
94	15643	313689
95	15768	312750
96	15888	311718
97	16010	310724
98	16147	310072
99	16263	309013
100	16385	308077
101	16501	307059
102	16615	306019
103	16738	305162
104	16858	304252
105	16976	303335
106	17112	302755
107	17239	302009
108	17357	301136
109	17475	300260
110	17589	299340
111	17713	298599
112	17832	297792
113	17958	297108
114	18086	296465
115	18233	296129
116	18348	295300
117	18469	294568
118	18590	293856
119	18708	293099
120	18832	292453
121	18952	291747
122	19072	291043
123	19213	290675
124	19329	289938
125	19455	289357
126	19571	288644
127	19688	287944
128	19818	287441
129	19935	286758
130	20054	286118
131	20176	285533
132	20321	285264
133	20439	284633
134	20564	284089
135	20683	283491
136	20814	283049
137	20932	282442
138	21066	282045
139	21188	281503
140	21319	281079
141	21453	280705
142	21594	280429
143	21728	280055
144	21872	279816
145	22003	279420
146	22139	279083
147	22279	278797
148	22434	278698
149	22570	278374
150	22708	278060
151	22846	277765
152	22983	277448
153	23121	277154
154	23257	276836
155	23412	276744
156	23553	276493
157	23654	275767
158	23895	276678
159	24077	276886
160	24237	276852
161	24420	277069
162	24609	277348
163	24882	278567
164	25080	278922
165	25231	278762
166	25370	278468
167	25531	278415
168	25686	278295
169	25832	278082
170	25982	277907
171	26125	277655
172	26266	277389
173	26403	277082
174	26538	276755
175	26686	276568
176	26841	276456
177	26987	276241
178	27130	276007
179	27268	275711
180	27445	275822
181	27593	275632
182	27749	275523
183	27901	275375
184	28046	275159
185	28191	274938
186	28335	274716
187	28474	274448
188	28613	274172
189	28681	273225
190	28821	272970
191	28898	272124
192	29035	271845
193	29173	271588
194	29308	271287
195	29444	271013
196	29588	270800
197	29742	270683
198	29880	270424
199	30017	270160
200	30153	269878
201	30325	269924
202	30466	269693
203	30604	269438
204	30739	269159
205	30893	269039
206	31038	268846
207	31171	268551
208	31305	268266
209	31437	267966
210	31569	267671
211	31695	267314
212	31846	267177
213	31977	266879
214	32112	266604
215	32246	266333
216	32377	266035
217	32514	265786
218	32654	265562
